@timestamp,@message,@logStream,@log,@maxMemoryUsed,@duration
2025-05-14 05:03:25.647,"REPORT RequestId: 93d96eba-93da-435c-8052-3e1d58144385	Duration: 7379.94 ms	Billed Duration: 7380 ms	Memory Size: 1024 MB	Max Memory Used: 781 MB	
",2025/05/14/[$LATEST]95a6b7a57206475cb5bf30968e2179a8,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,781000000,7379.94
2025-05-14 05:03:22.814,"REPORT RequestId: 660c0f66-c4dd-4a3a-8ed0-e751fdb1d1ac	Duration: 7668.80 ms	Billed Duration: 7669 ms	Memory Size: 1024 MB	Max Memory Used: 788 MB	
",2025/05/14/[$LATEST]a9fb07450ea54cc9b5b66221d078dfaa,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,788000000,7668.8
2025-05-14 05:03:22.194,"REPORT RequestId: f2e53533-6e21-4ddb-b8f7-769fcdcd19ab	Duration: 7723.44 ms	Billed Duration: 7724 ms	Memory Size: 1024 MB	Max Memory Used: 780 MB	
",2025/05/14/[$LATEST]273569a672d04abe9a1dc7f80a205d7b,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,780000000,7723.44
2025-05-14 05:03:21.635,"REPORT RequestId: ce666faa-9efb-4f35-8725-e67283fbe892	Duration: 7468.65 ms	Billed Duration: 7469 ms	Memory Size: 1024 MB	Max Memory Used: 784 MB	
",2025/05/14/[$LATEST]e829892218db44d0a619370416a05456,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,784000000,7468.65
2025-05-14 05:03:21.235,"REPORT RequestId: 4d961b86-c20d-4215-9215-20d8da14d8da	Duration: 8081.63 ms	Billed Duration: 8082 ms	Memory Size: 1024 MB	Max Memory Used: 785 MB	
",2025/05/14/[$LATEST]d226844866a04152b187190d0e2614de,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,785000000,8081.63
2025-05-14 05:03:18.072,"REPORT RequestId: 4a7ff19e-b8e6-467f-9f5d-b9c4801b2b96	Duration: 7263.47 ms	Billed Duration: 7264 ms	Memory Size: 1024 MB	Max Memory Used: 781 MB	
",2025/05/14/[$LATEST]95a6b7a57206475cb5bf30968e2179a8,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,781000000,7263.47
2025-05-14 05:03:15.038,"REPORT RequestId: f7481c80-1eef-45df-bc20-3302951f75bb	Duration: 7766.97 ms	Billed Duration: 7767 ms	Memory Size: 1024 MB	Max Memory Used: 788 MB	
",2025/05/14/[$LATEST]a9fb07450ea54cc9b5b66221d078dfaa,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,788000000,7766.97
2025-05-14 05:03:14.364,"REPORT RequestId: fe3216ba-5c88-4ff1-834d-06f59703bf32	Duration: 7541.37 ms	Billed Duration: 7542 ms	Memory Size: 1024 MB	Max Memory Used: 779 MB	
",2025/05/14/[$LATEST]273569a672d04abe9a1dc7f80a205d7b,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,779000000,7541.37
2025-05-14 05:03:14.024,"REPORT RequestId: a62b4d33-35c5-4dfd-a4e7-da1fdb3fed21	Duration: 7783.44 ms	Billed Duration: 7784 ms	Memory Size: 1024 MB	Max Memory Used: 784 MB	
",2025/05/14/[$LATEST]e829892218db44d0a619370416a05456,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,784000000,7783.44
2025-05-14 05:03:12.997,"REPORT RequestId: 94dc364e-8271-485c-9e94-a062be836502	Duration: 8409.81 ms	Billed Duration: 8410 ms	Memory Size: 1024 MB	Max Memory Used: 781 MB	
",2025/05/14/[$LATEST]d226844866a04152b187190d0e2614de,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,781000000,8409.81
