@timestamp,@message,@logStream,@log,@maxMemoryUsed,@duration
2025-05-14 05:52:39.935,"REPORT RequestId: 4e8f19fd-6270-4d8a-bcd2-040bfff06870	Duration: 3387.21 ms	Billed Duration: 3388 ms	Memory Size: 1024 MB	Max Memory Used: 655 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,655000000,3387.21
2025-05-14 05:52:39.715,"REPORT RequestId: 39670203-aaec-48a2-a3de-ecf93840f8d8	Duration: 3299.07 ms	Billed Duration: 3300 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3299.07
2025-05-14 05:52:39.641,"REPORT RequestId: d8a25d75-90c4-4348-a6c9-b6506b2bb8d7	Duration: 3387.27 ms	Billed Duration: 3388 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3387.27
2025-05-14 05:52:39.607,"REPORT RequestId: 33edc093-2041-4532-855c-237300890d6f	Duration: 3346.22 ms	Billed Duration: 3347 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3346.22
2025-05-14 05:52:36.757,"REPORT RequestId: 6f9b55c6-646a-474f-9ea8-b44a41f3a8f4	Duration: 3547.89 ms	Billed Duration: 3548 ms	Memory Size: 1024 MB	Max Memory Used: 527 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,527000000,3547.89
2025-05-14 05:52:36.455,"REPORT RequestId: b609fdf8-0170-469b-975a-9966a1f9d7a8	Duration: 3378.06 ms	Billed Duration: 3379 ms	Memory Size: 1024 MB	Max Memory Used: 655 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,655000000,3378.06
2025-05-14 05:52:36.314,"REPORT RequestId: 0ea20355-49c3-4ac9-881f-272b15f37f78	Duration: 3348.48 ms	Billed Duration: 3349 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3348.48
2025-05-14 05:52:36.162,"REPORT RequestId: ef59be6a-50ef-4ce0-b2f6-4fb323a46d3d	Duration: 3359.27 ms	Billed Duration: 3360 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3359.27
2025-05-14 05:52:36.106,"REPORT RequestId: 3738aecf-02b4-4ee1-8389-b30f9c1dea34	Duration: 3299.78 ms	Billed Duration: 3300 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3299.78
2025-05-14 05:52:33.117,"REPORT RequestId: 3e853105-1306-41aa-9833-57594159ee61	Duration: 3451.22 ms	Billed Duration: 3452 ms	Memory Size: 1024 MB	Max Memory Used: 527 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,527000000,3451.22
2025-05-14 05:52:32.975,"REPORT RequestId: 6c0494dc-24a0-45f1-b7e3-755dcedd2e9e	Duration: 3600.15 ms	Billed Duration: 3601 ms	Memory Size: 1024 MB	Max Memory Used: 655 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,655000000,3600.15
2025-05-14 05:52:32.872,"REPORT RequestId: 890c6b5a-d3cf-4106-98f9-499ff5b2ccb0	Duration: 3352.86 ms	Billed Duration: 3353 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3352.86
2025-05-14 05:52:32.686,"REPORT RequestId: 677270cb-13ae-48b8-b9b3-54abf572765a	Duration: 3400.40 ms	Billed Duration: 3401 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3400.4
2025-05-14 05:52:32.667,"REPORT RequestId: 14015087-9e5e-4e15-b1f2-c2b981ace739	Duration: 3324.58 ms	Billed Duration: 3325 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3324.58
2025-05-14 05:52:29.561,"REPORT RequestId: d51ab310-2b75-464f-a5f4-e1748b2cc9d1	Duration: 3433.46 ms	Billed Duration: 3434 ms	Memory Size: 1024 MB	Max Memory Used: 517 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,517000000,3433.46
2025-05-14 05:52:29.414,"REPORT RequestId: 82bb8e92-5199-489a-b9e5-ddb53a16489e	Duration: 3411.16 ms	Billed Duration: 3412 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3411.16
2025-05-14 05:52:29.287,"REPORT RequestId: 2a56b05d-66bd-48fe-bbe7-20667e0fa8b6	Duration: 3305.05 ms	Billed Duration: 3306 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3305.05
2025-05-14 05:52:29.261,"REPORT RequestId: 9263ab62-74f0-4f50-b217-81fcb0f46fa5	Duration: 3387.37 ms	Billed Duration: 3388 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3387.37
2025-05-14 05:52:29.180,"REPORT RequestId: dd98a156-2743-4cd0-93dd-27fb3a67bfdf	Duration: 3308.41 ms	Billed Duration: 3309 ms	Memory Size: 1024 MB	Max Memory Used: 655 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,655000000,3308.41
2025-05-14 05:52:26.038,"REPORT RequestId: c8bd1da9-5d16-429b-a65a-43e7f7337c2b	Duration: 3443.08 ms	Billed Duration: 3444 ms	Memory Size: 1024 MB	Max Memory Used: 517 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,517000000,3443.08
2025-05-14 05:52:25.910,"REPORT RequestId: ec2ea6e1-d6fe-4817-9617-d16f0d16343f	Duration: 3362.80 ms	Billed Duration: 3363 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3362.8
2025-05-14 05:52:25.892,"REPORT RequestId: b0323174-4e06-42b0-b265-77b6a0e6de55	Duration: 3371.82 ms	Billed Duration: 3372 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3371.82
2025-05-14 05:52:25.796,"REPORT RequestId: 4f1b4a0e-ecfd-4723-8cf4-4fc3082895c4	Duration: 3367.49 ms	Billed Duration: 3368 ms	Memory Size: 1024 MB	Max Memory Used: 655 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,655000000,3367.49
2025-05-14 05:52:25.782,"REPORT RequestId: 21458d11-0a37-4791-bcd6-c19662c3bcb8	Duration: 3432.50 ms	Billed Duration: 3433 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3432.5
2025-05-14 05:52:22.492,"REPORT RequestId: aebbc5f9-1dda-4e6b-9a78-6ef57b1d3314	Duration: 3307.29 ms	Billed Duration: 3308 ms	Memory Size: 1024 MB	Max Memory Used: 545 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,545000000,3307.29
2025-05-14 05:52:22.447,"REPORT RequestId: 736c7f59-f1ef-41fd-9ac8-711ea807b09a	Duration: 3341.08 ms	Billed Duration: 3342 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3341.08
